TT,Lĩnh vực,Câu hỏi,Loại,Các đáp án lựa chọn (Điểm - Rủi ro),Các khuyến nghị xử lý
1,"Sự cố hệ thống, thiết bị điện","Hệ thống điện tại cơ sở có được kiểm tra, bảo trì định kỳ bởi đơn vị có chuyên môn không?",single,"A) Có kiểm tra định kỳ hàng năm bởi đơn vị có giấy phép, có biên bản lưu hồ sơ đầy đủ [Điểm: 0, Rủi ro: safe]
B) Tự kiểm tra nội bộ theo kinh nghiệm, chưa mời đơn vị chuyên nghiệp bên ngoài [Điểm: 1, Rủi ro: low]
C) Chỉ kiểm tra khi có sự cố xảy ra hoặc khi cơ quan chức năng yêu cầu [Điểm: 2, Rủi ro: high]
D) Chưa từng kiểm tra hệ thống điện kể từ khi lắp đặt ban đầu [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Điều tra nguyên nhân sự cố trước đây, lập biện pháp phòng ngừa tái phát. Tăng cường tuần tra PCCC.
- Nếu chọn (D): Khắc phục: Chưa từng kiểm tra hệ thống điện kể từ khi lắp đặt ban đầu. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
2,"Sự cố hệ thống, thiết bị điện","Hệ thống dây dẫn điện tại cơ sở có dấu hiệu hư hỏng (bong tróc vỏ cách điện, rỉ sét, nối dây bằng băng keo không đúng quy cách) không?",single,"A) Dây điện còn mới, vỏ cách điện nguyên vẹn, luồn trong ống bảo vệ hoặc máng cáp đúng quy cách [Điểm: 0, Rủi ro: safe]
B) Phần lớn dây tốt, có 1-2 đoạn nhỏ vỏ hơi cũ nhưng chưa bong tróc [Điểm: 1, Rủi ro: low]
C) Nhiều đoạn dây bong tróc vỏ cách điện, có mối nối bằng băng keo không đúng kỹ thuật [Điểm: 2, Rủi ro: high]
D) Dây điện cũ nát, vỏ bọc nứt rạn nhiều chỗ, rỉ sét tại các mối nối, có dấu hiệu chạm chập [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Nhiều đoạn dây bong tróc vỏ cách điện, có mối nối bằng băng keo không đúng kỹ thuật. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Thay thế toàn bộ dây điện cũ/hỏng bằng dây đạt chuẩn TCVN, luồn trong ống bảo vệ PVC. Kiểm tra từng đoạn dây, đánh dấu vị trí cần thay."
3,"Sự cố hệ thống, thiết bị điện","Các thiết bị bảo vệ điện (Cầu chì, Aptomat, CB) có dung lượng và tình trạng hoạt động như thế nào?",single,"A) Có aptomat/CB đúng dòng định mức cho từng mạch, kiểm tra hoạt động định kỳ ít nhất 1 lần/năm [Điểm: 0, Rủi ro: safe]
B) Có aptomat nhưng không rõ dòng định mức có phù hợp tải thực tế không, chưa từng test [Điểm: 1, Rủi ro: low]
C) Dùng cầu chì dây thay aptomat, hoặc aptomat đã cũ bị kẹt chưa thay thế [Điểm: 2, Rủi ro: high]
D) Không có thiết bị bảo vệ ngắt điện tự động nào, hoặc đã bị bypass (nối tắt) [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Kiểm tra và thay thế aptomat không đúng dòng định mức. Thử test aptomat bằng cách nhấn nút TEST hàng tháng.
- Nếu chọn (D): Khắc phục: Không có thiết bị bảo vệ ngắt điện tự động nào, hoặc đã bị bypass (nối tắt). Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
4,"Sự cố hệ thống, thiết bị điện",Việc sử dụng ổ cắm di động (dây kéo dài) tại cơ sở được thực hiện như thế nào?,single,"A) Không sử dụng ổ cắm kéo dài, hoặc chỉ dùng loại có CB bảo vệ tích hợp, đúng công suất [Điểm: 0, Rủi ro: safe]
B) Có dùng ổ cắm kéo dài nhưng kiểm soát tổng công suất thiết bị cắm vào không vượt tải [Điểm: 1, Rủi ro: low]
C) Thường xuyên dùng nhiều ổ cắm kéo dài nối chồng nhau, cắm nhiều thiết bị công suất lớn [Điểm: 2, Rủi ro: high]
D) Ổ cắm kéo dài cũ hỏng, dây bị nóng khi dùng, chân cắm lỏng lẻo, vẫn sử dụng hàng ngày [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Thay thế ổ cắm hỏng/méo. Không cắm chồng nhiều ổ nối dài. Dùng ổ cắm có nắp bảo vệ tại nơi ẩm ướt.
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
5,"Sự cố hệ thống, thiết bị điện",Hệ thống tiếp địa bảo vệ (nối đất) và chống sét của cơ sở được lắp đặt và kiểm tra như thế nào?,single,"A) Có hệ thống tiếp địa và chống sét đầy đủ, đo điện trở nối đất đạt ≤ 4Ω, có biên bản kiểm tra định kỳ [Điểm: 0, Rủi ro: safe]
B) Có hệ thống tiếp địa nhưng chưa đo điện trở nối đất gần đây, không rõ có đạt tiêu chuẩn không [Điểm: 1, Rủi ro: low]
C) Chỉ một số thiết bị lớn có nối đất, hệ thống không đồng bộ, chưa có chống sét lan truyền [Điểm: 2, Rủi ro: high]
D) Không có hệ thống nối đất bảo vệ và không có chống sét, hoặc không biết cơ sở có hay không [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Thuê đơn vị có chức năng đo điện trở nối đất. Yêu cầu đạt ≤ 4Ω theo TCVN. Bổ sung dây nối đất cho thiết bị chưa có.
- Nếu chọn (D): Thuê đơn vị có chức năng đo điện trở nối đất. Yêu cầu đạt ≤ 4Ω theo TCVN. Bổ sung dây nối đất cho thiết bị chưa có."
6,"Sự cố hệ thống, thiết bị điện","Cơ sở có lắp đặt thiết bị chống giật/chống rò điện (ELCB, RCD) tại các mạch điện quan trọng không?",single,"A) Có lắp ELCB/RCD 30mA cho toàn bộ các mạch điện, kiểm tra bằng nút TEST định kỳ hàng tháng [Điểm: 0, Rủi ro: safe]
B) Chỉ lắp ở một số mạch quan trọng (khu vực ẩm ướt, bếp, nhà tắm) [Điểm: 1, Rủi ro: low]
C) Có lắp nhưng chưa bao giờ test, không biết còn hoạt động tốt không [Điểm: 2, Rủi ro: high]
D) Không lắp thiết bị chống rò điện nào, hoặc không biết thiết bị này là gì [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Có lắp nhưng chưa bao giờ test, không biết còn hoạt động tốt không. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Lắp RCCB/ELCB 30mA cho toàn bộ mạch điện, ưu tiên khu vực ẩm ướt (nhà tắm, bếp). Test nút TEST mỗi tháng."
7,"Sự cố hệ thống, thiết bị điện",Tình trạng tủ điện chính/phân phối tại cơ sở như thế nào?,single,"A) Tủ điện đặt nơi khô ráo thông thoáng, có khóa, biển cảnh báo, không có vật liệu dễ cháy trong vòng 1m [Điểm: 0, Rủi ro: safe]
B) Tủ điện đặt đúng vị trí nhưng xung quanh có để một số vật dụng, chưa có biển cảnh báo [Điểm: 1, Rủi ro: low]
C) Tủ điện đặt gần vật liệu dễ cháy hoặc ở nơi ẩm ướt, cửa tủ không đóng kín [Điểm: 2, Rủi ro: high]
D) Tủ điện bị hàng hóa che khuất hoàn toàn, khó tiếp cận khi xảy ra sự cố khẩn cấp [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
8,"Sự cố hệ thống, thiết bị điện",Hệ thống chiếu sáng tại cơ sở được lắp đặt và vận hành như thế nào liên quan đến an toàn cháy nổ?,single,"A) Dùng đèn LED tiết kiệm điện, lắp đặt cách vật liệu dễ cháy ≥ 0.5m, có chao đèn bảo vệ [Điểm: 0, Rủi ro: safe]
B) Phần lớn đèn LED, còn một số đèn huỳnh quang cũ nhưng hoạt động bình thường [Điểm: 1, Rủi ro: low]
C) Còn dùng đèn sợi đốt/halogen tỏa nhiệt cao gần vật liệu dễ cháy như vải, giấy, gỗ [Điểm: 2, Rủi ro: high]
D) Đèn lắp áp sát trần bằng vật liệu dễ cháy, ballast đèn cũ nóng bất thường, có mùi khét [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Đốt vàng mã trong lư/thùng kim loại có nắp, đặt trên nền bê tông, xa vật liệu dễ cháy 3m. Luôn có người trông coi.
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
9,"Sự cố hệ thống, thiết bị điện","Các thiết bị điện nung nóng (bếp điện, bếp từ, lò sưởi điện, bàn ủi) được sử dụng và quản lý như thế nào tại cơ sở?",single,"A) Dùng thiết bị có CE/CR, có mạch riêng, luôn rút phích cắm khi không dùng, cách xa vật dễ cháy [Điểm: 0, Rủi ro: safe]
B) Có thiết bị nung nóng, sử dụng cẩn thận nhưng đôi khi quên rút phích cắm khi rời đi [Điểm: 1, Rủi ro: low]
C) Thiết bị nung nóng đặt gần vật dễ cháy, dùng chung ổ cắm với thiết bị khác [Điểm: 2, Rủi ro: high]
D) Thiết bị nung nóng cũ không có thermostat tự ngắt, để chạy liên tục không giám sát [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
10,"Sự cố hệ thống, thiết bị điện",Hệ thống máy điều hòa không khí (ĐHKK) tại cơ sở được bảo trì và kiểm tra an toàn như thế nào?,single,"A) Vệ sinh và kiểm tra ĐHKK định kỳ 6 tháng/lần bởi thợ chuyên nghiệp, mạch điện riêng có CB [Điểm: 0, Rủi ro: safe]
B) Vệ sinh filter tự làm 1 lần/năm, chưa kiểm tra hệ thống điện và gas lạnh [Điểm: 1, Rủi ro: low]
C) ĐHKK chạy liên tục nhiều năm không bảo trì, có tiếng kêu lạ hoặc rung lắc bất thường [Điểm: 2, Rủi ro: high]
D) ĐHKK cũ bị rò gas lạnh, dây điện nóng khi chạy, có mùi khét nhưng vẫn sử dụng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lập lịch bảo dưỡng theo khuyến cáo nhà sản xuất. Ghi sổ theo dõi: ngày bảo dưỡng, người thực hiện, hạng mục.
- Nếu chọn (D): Thay thế toàn bộ dây điện cũ/hỏng bằng dây đạt chuẩn TCVN, luồn trong ống bảo vệ PVC. Kiểm tra từng đoạn dây, đánh dấu vị trí cần thay."
